emissions,reading_date
0.484268,2025-09-23
0.334480,2025-08-27
0.039028,2025-09-03
0.354023,2025-11-21
0.360374,2025-11-21
0.450149,2025-08-28
0.156832,2025-10-06
0.159229,2025-11-02
0.240728,2025-10-06
0.090873,2026-02-06
0.335153,2025-10-10
0.169307,2025-10-13
0.143981,2026-02-09
0.476549,2025-12-18
0.281312,2025-09-07
0.362757,2025-09-29
0.454965,2026-01-17
0.375120,2025-12-11
0.454708,2025-10-09
0.346826,2025-11-01
0.103162,2025-10-15
0.332648,2025-09-11
0.209751,2025-11-30
0.262647,2026-01-21
0.217613,2025-10-10
0.449493,2025-09-05
0.087196,2025-09-13
0.100016,2025-08-22
0.358290,2025-12-12
0.102183,2026-02-12
0.100643,2026-02-03
0.348241,2025-09-23
0.445891,2025-10-03
0.358839,2026-01-09
0.056634,2026-01-05
0.107439,2025-10-20
0.322591,2025-11-08
0.306590,2026-01-20
0.160843,2025-09-07
0.457303,2026-01-01
0.316598,2026-01-05
0.261542,2025-11-29
0.251002,2026-01-05
0.307556,2025-09-28
0.420742,2026-01-08
0.032396,2025-09-20
0.380651,2025-09-02
0.046217,2025-08-24
0.322403,2025-12-15
0.213167,2025-12-30
0.196557,2026-01-02
0.138976,2025-09-12
0.446805,2025-11-13
0.395259,2026-01-29
0.196994,2025-10-20
0.490535,2025-09-04
0.130721,2025-10-29
0.465392,2025-09-16
0.384267,2025-12-04
0.043244,2025-12-05
0.373201,2025-09-05
0.414043,2025-10-24
0.410251,2025-11-25
0.178648,2025-08-25
0.236665,2025-08-30
0.293740,2025-10-13
0.154340,2025-09-17
0.119842,2025-08-18
0.182439,2025-10-12
0.133290,2025-09-02
0.035436,2025-12-03
0.284313,2025-11-18
0.385244,2025-08-27
0.240862,2026-01-07
0.111035,2025-11-07
0.312523,2025-10-26
0.176033,2026-01-04
0.413216,2025-10-03
0.375480,2025-12-04
0.429854,2025-12-28
0.125855,2025-12-14
0.413794,2025-11-13
0.032596,2025-10-16
0.372651,2025-11-24
0.007081,2025-10-14
0.247020,2025-08-28
0.445447,2026-01-10
0.445371,2025-10-10
0.042819,2025-11-04
0.419626,2025-08-25
0.421893,2025-08-18
0.283759,2025-08-28
0.371710,2025-11-07
0.029786,2025-12-25
0.010983,2026-02-09
0.194641,2025-10-28
0.277237,2025-09-04
0.167877,2025-11-27
0.111546,2025-12-07
0.137143,2025-11-10
0.292807,2026-01-10
0.004085,2025-09-17
0.029946,2025-10-01
0.340023,2025-09-30
0.368373,2025-09-13
0.396242,2025-11-09
0.255790,2025-10-10
0.481379,2025-12-02
0.437527,2026-01-05
0.325091,2026-01-21
0.391204,2026-01-06
0.158981,2025-12-03
0.243905,2025-08-20
0.425537,2025-09-21
0.030928,2025-10-17
0.294738,2026-01-05
0.277730,2025-10-03
0.099766,2025-09-19
0.494430,2025-09-24
0.014843,2026-01-11
0.257476,2026-01-08
0.389835,2026-02-09
0.208299,2026-02-09
0.043997,2025-08-31
0.348670,2025-11-03
0.034611,2025-12-27
0.383875,2025-10-03
0.107310,2025-09-01
0.037733,2026-01-14
0.147115,2025-09-30
0.248425,2025-12-16
0.154072,2025-10-09
0.226845,2025-10-28
0.223253,2026-01-21
0.336235,2025-11-03
0.318508,2026-01-29
0.411050,2025-12-11
0.209042,2025-08-28
0.082983,2025-12-29
0.288189,2025-11-24
0.474324,2025-11-07
0.420304,2025-09-30
0.091275,2025-11-02
0.454725,2025-12-24
0.013720,2025-12-03
0.050018,2025-12-27
0.287885,2025-11-28
0.092030,2025-08-20
0.391167,2025-08-19
0.330586,2026-01-06
0.418444,2025-12-30
0.215552,2025-10-01
0.176618,2025-10-09
0.260301,2026-01-03
0.199176,2025-10-05
0.299072,2025-11-19
0.044833,2025-09-27
0.116537,2025-10-26
0.470728,2025-12-10
0.169176,2025-09-06
0.177833,2025-10-24
0.282520,2025-08-29
0.211318,2025-08-28
0.317679,2025-09-12
0.271229,2025-11-29
0.050201,2026-01-16
0.441404,2026-01-22
0.369123,2025-12-31
0.020562,2026-01-09
0.456382,2025-12-09
0.169301,2025-10-09
0.161126,2026-01-27
0.485800,2025-10-17
0.120254,2025-11-16
0.269602,2025-12-22
0.268245,2026-01-14
0.042274,2025-09-16
0.433583,2025-12-12
0.427264,2025-12-10
0.157929,2025-09-07
0.105521,2025-09-12
0.354910,2025-12-15
0.237141,2025-11-28
0.249495,2025-09-18
0.437807,2025-10-13
0.374062,2025-10-26
0.100728,2026-01-02
0.007233,2026-01-17
0.401509,2025-10-01
0.382380,2026-02-05
0.457066,2025-11-12
0.192769,2025-10-14
0.139231,2025-12-20
0.463218,2025-12-09
0.060334,2025-08-28
0.494540,2025-10-24
0.307579,2025-10-25
0.099047,2025-09-10
0.352996,2025-12-09
0.297421,2025-10-26
0.086823,2025-08-21
0.249472,2025-12-08
0.270572,2025-11-23
0.313759,2025-10-09
0.308093,2026-01-17
0.328892,2025-12-23
0.118014,2025-12-09
0.201226,2025-09-16
0.007092,2025-12-15
0.325331,2025-10-21
0.472727,2026-01-06
0.298203,2025-11-23
0.327933,2026-01-31
0.176210,2025-09-08
0.434987,2025-09-20
0.428286,2025-08-19
0.347077,2026-01-20
0.057273,2025-10-18
0.420998,2025-10-05
0.091256,2025-11-22
0.262752,2025-10-27
0.428559,2026-02-08
0.214565,2025-10-22
0.289921,2025-10-20
0.362702,2025-10-02
0.317480,2026-02-05
0.108033,2025-11-22
0.072315,2025-10-11
0.169199,2026-01-08
0.189866,2026-01-08
0.324275,2025-10-02
0.142896,2026-01-18
0.127315,2025-12-17
0.071877,2026-01-08
0.043144,2026-01-08
0.161735,2025-12-23
0.288269,2026-01-13
0.052339,2026-01-19
0.329577,2026-01-24
0.179828,2025-08-25
0.390796,2025-09-20
0.046076,2026-01-23
0.419608,2026-01-01
0.119125,2026-01-01
0.231737,2026-01-01
0.033932,2025-12-05
0.392549,2026-02-06
0.082679,2025-12-17
0.309801,2025-12-01
0.431266,2025-09-05
0.041381,2025-09-05
0.035661,2025-11-16
0.222572,2025-12-24
0.155863,2025-09-05
0.131876,2025-12-11
0.102076,2026-01-10
0.355411,2025-09-16
0.387351,2025-12-11
0.327740,2025-11-30
0.225035,2025-09-26
0.254301,2025-12-17
0.315264,2025-11-06
0.028454,2026-02-03
0.147891,2026-02-04
0.246957,2025-12-11
0.019085,2025-12-18
0.429827,2026-01-30
0.245446,2025-09-26
0.022026,2026-01-04
0.478178,2025-10-27
0.018658,2025-09-11
0.327877,2026-01-08
0.156084,2025-12-31
0.260765,2025-12-01
0.455631,2025-11-02
0.287105,2025-12-11
0.427914,2025-12-12
0.258796,2025-10-14
0.272311,2025-10-22
0.328872,2025-12-07
0.267824,2026-01-07
0.080809,2025-10-02
0.483555,2025-11-08
0.356313,2026-02-01
0.148008,2025-10-10
0.263716,2025-10-14
0.157461,2025-12-16
0.271544,2025-08-20
0.417869,2025-11-21
0.143610,2025-08-21
0.116707,2025-10-27
0.374361,2025-12-31
0.487939,2025-11-16
0.012716,2025-11-06
0.230582,2025-08-27
0.061890,2025-09-06
0.211855,2026-01-02
0.350518,2025-11-25
0.077979,2025-11-23
0.425476,2025-08-31
0.084484,2025-12-23
0.176690,2026-01-11
0.339818,2025-10-26
0.393401,2025-10-31
0.182272,2025-10-24
0.154082,2025-12-21
0.403433,2025-12-12
0.491152,2025-08-24
0.122968,2025-09-08
0.088527,2025-10-31
0.087579,2025-11-21
0.119695,2025-12-15
0.191930,2025-09-23
0.226489,2025-10-17
0.128562,2025-08-31
0.008802,2025-10-05
0.259877,2025-10-09
0.036372,2026-01-10
0.479948,2026-01-01
0.002678,2026-01-07
0.379975,2026-01-14
0.216312,2025-09-30
0.035459,2026-02-12
0.272771,2025-10-24
0.015672,2025-09-01
0.458617,2025-08-20
0.077706,2025-11-27
0.421421,2025-12-11
0.395810,2025-10-28
0.403984,2025-09-01
0.334035,2025-11-22
0.182562,2025-10-28
0.214247,2025-10-24
0.123547,2025-11-05
0.081737,2026-01-15
0.319883,2025-12-05
0.067532,2025-09-01
0.499404,2025-10-06
0.024340,2025-09-24
0.082451,2025-11-15
0.386948,2025-11-15
0.196086,2026-01-21
0.184251,2026-01-04
0.382499,2026-02-11
0.302903,2026-01-16
0.380320,2025-09-09
0.220276,2025-12-30
0.398842,2025-08-27
0.248741,2025-10-01
0.207912,2025-12-22
0.145766,2025-08-17
0.464110,2025-11-29
0.412035,2025-12-13
0.193288,2026-02-06
0.415223,2025-11-10
0.292249,2025-10-31
0.484839,2025-11-03
0.007575,2025-12-07
0.485084,2025-11-20
0.321884,2025-12-05
0.209700,2025-12-21
0.313236,2025-09-13
0.362027,2026-01-05
0.023423,2026-01-04
0.359439,2025-11-05
0.119131,2025-10-24
0.194089,2025-09-14
0.443184,2025-12-08
0.460637,2025-11-22
0.178127,2025-10-04
0.094411,2025-09-16
0.278288,2025-10-24
0.060283,2025-11-20
0.425720,2026-01-28
0.199758,2025-12-04
0.164405,2025-12-14
0.158669,2025-10-12
0.178022,2025-12-06
0.207209,2025-10-27
0.263768,2025-09-15
0.422730,2025-10-31
0.463198,2025-08-25
0.447576,2025-10-05
0.252169,2025-10-28
0.039809,2025-09-01
0.159381,2025-12-28
0.211901,2025-10-31
0.044644,2025-12-14
0.395712,2025-08-26
0.470031,2025-09-16
0.335914,2025-10-09
0.119477,2025-08-27
0.381607,2025-08-30
0.147664,2025-11-17
0.341794,2026-01-16
0.093578,2025-11-18
0.228934,2025-11-09
0.167192,2026-01-07
0.194888,2025-12-08
0.148636,2026-02-10
0.084434,2025-10-14
0.019299,2025-12-30
0.415289,2026-01-09
0.105337,2025-11-06
0.150687,2025-12-10
0.123761,2026-01-12
0.410292,2025-11-04
0.090290,2026-02-11
0.259903,2026-01-05
0.275791,2025-08-29
0.041577,2025-08-24
0.284684,2025-08-21
0.378854,2025-11-05
0.265205,2025-10-19
0.331977,2025-10-08
0.298967,2025-08-22
0.297537,2025-09-25
0.309151,2025-08-18
0.067093,2025-11-09
0.405438,2026-01-01
0.054092,2025-09-28
0.174574,2025-11-27
0.156550,2026-01-07
0.166441,2025-09-14
0.200738,2025-10-29
0.123421,2025-09-24
0.166846,2025-11-19
0.198058,2026-01-08
0.217414,2026-01-25
0.030251,2025-10-03
0.143592,2025-09-08
0.483035,2025-12-18
0.213442,2025-08-31
0.339964,2025-08-23
0.387530,2025-10-19
0.142536,2025-10-02
0.020469,2025-09-23
0.221942,2025-12-19
0.140691,2025-11-27
0.375742,2025-10-06
0.144013,2025-09-25
0.239867,2025-11-30
0.209862,2025-12-27
0.350120,2025-11-05
0.169879,2026-02-03
0.151073,2025-11-18
0.083813,2025-09-27
0.475327,2025-10-15
0.034966,2025-12-04
0.463591,2025-08-29
0.490427,2025-11-22
0.416416,2025-10-24
0.182397,2026-02-03
0.235753,2025-10-15
0.254212,2025-11-07
0.442566,2026-02-07
0.283379,2025-11-30
0.393401,2025-12-31
0.498694,2025-11-28
0.467367,2025-11-01
0.436384,2025-11-18
0.174535,2025-09-07
0.326601,2025-10-07
0.217737,2026-01-17
0.120193,2025-09-24
0.424090,2026-01-30
0.165069,2025-11-09
0.211003,2025-12-07
0.336331,2025-09-10
0.396891,2025-12-02
0.050097,2025-09-24
0.215591,2025-12-01
0.287365,2025-11-28
0.440085,2025-11-12
0.174800,2025-09-08
0.248260,2025-12-03
0.110021,2025-12-02
0.358656,2025-08-21
0.111974,2025-09-14
0.315440,2025-08-17
0.499433,2025-09-03
0.118669,2025-12-11
0.422390,2025-12-13
0.132361,2025-08-30
0.053881,2025-10-10
0.220101,2025-09-19
0.418409,2025-10-05
0.018989,2025-12-15
0.498309,2025-09-18
0.411259,2025-10-30
0.049906,2025-12-06
0.484794,2025-11-09
0.129371,2025-12-05
0.348011,2025-11-17
0.426732,2025-08-31
0.289332,2025-08-30
0.431747,2025-12-22
0.372327,2025-12-06
0.361412,2025-11-10
0.004324,2025-09-09
0.363066,2025-10-17
0.430903,2025-11-11
0.195947,2025-10-31
0.455831,2025-11-26
0.166785,2025-11-24
0.092462,2025-12-22
0.242921,2025-08-28
0.281562,2025-09-18
0.141773,2025-09-22
0.015880,2025-10-20
0.403512,2025-09-06
0.491461,2025-08-27
0.251033,2025-09-28
0.026178,2026-01-21
0.370959,2026-01-05
0.495346,2025-09-18
0.264837,2025-09-07
0.117029,2025-09-19
0.089693,2025-10-24
0.350360,2025-12-06
0.337614,2025-09-23
0.479833,2026-01-31
0.258437,2025-09-17
0.070142,2025-12-19
0.390348,2025-10-20
0.486185,2026-01-03
0.170293,2025-12-18
0.393355,2025-11-17
0.489225,2025-12-18
0.458696,2026-01-22
0.213431,2025-11-19
0.098868,2025-12-01
0.057178,2025-08-29
0.141663,2026-01-11
0.121549,2025-11-05
0.077936,2025-10-24
0.387883,2025-12-16
0.380731,2026-01-06
0.124253,2025-08-18
0.372849,2025-11-30
0.017497,2026-01-06
0.204855,2025-11-28
0.463350,2025-09-25
0.223463,2025-09-05
0.001693,2025-08-30
0.464669,2026-02-12
0.475037,2025-12-10
0.281979,2026-01-03
0.034945,2025-09-12
0.313100,2025-09-03
0.251958,2025-12-04
0.072403,2025-12-19
0.193228,2025-09-10
0.410660,2025-08-18
0.287532,2026-01-29
0.392226,2025-10-12
0.022977,2025-10-19
0.266919,2025-08-30
0.365740,2025-10-07
0.130832,2025-10-31
0.099788,2025-10-13
0.172441,2025-11-27
0.105955,2025-09-08
0.213686,2025-08-24
0.061101,2025-11-11
0.423265,2026-01-10
0.124884,2025-12-11
0.401591,2025-09-14
0.044090,2026-01-10
0.041479,2025-10-11
0.136588,2025-09-22
0.245389,2026-01-10
0.138645,2025-09-05
0.152675,2025-11-07
0.040893,2026-01-25
0.049064,2025-08-23
0.021328,2025-08-26
0.371209,2025-09-14
0.105140,2025-09-07
0.339670,2025-10-10
0.467801,2025-10-18
0.347837,2025-10-02
0.345443,2025-10-18
0.405579,2025-10-13
0.312300,2025-09-11
0.087857,2025-10-14
0.463530,2025-12-18
0.406815,2025-12-04
0.153865,2025-09-19
0.118406,2026-01-17
0.043914,2025-10-11
0.395365,2026-01-27
0.369103,2025-12-13
0.170033,2025-10-31
0.145244,2025-11-26
0.043070,2025-12-04
0.204555,2025-08-28
0.206154,2025-11-30
0.150442,2025-11-05
0.301331,2025-11-05
0.093209,2025-11-11
0.346104,2025-12-16
0.165925,2025-10-16
0.385842,2025-10-07
0.338026,2025-11-08
0.111073,2026-02-11
0.110052,2025-12-05
0.076754,2025-08-25
0.064160,2025-12-24
0.394652,2025-12-14
0.057817,2025-12-04
0.221179,2026-01-05
0.448909,2026-01-23
0.499078,2025-12-16
0.126337,2025-09-12
0.209726,2026-02-11
0.419910,2025-12-21
0.399057,2025-11-16
0.239588,2026-01-31
0.035649,2025-11-18
0.475061,2025-09-16
0.196876,2025-12-10
0.009418,2025-10-21
0.002320,2025-09-11
0.289839,2026-01-05
0.009038,2025-11-02
0.497370,2026-02-10
0.386018,2025-12-19
0.273133,2025-09-17
0.033144,2026-01-23
0.337600,2025-09-07
0.015758,2025-11-03
0.282191,2025-11-19
0.355616,2025-12-31
0.176726,2025-08-25
0.023058,2025-12-31
0.354825,2026-01-05
0.499240,2026-01-11
0.432587,2025-09-24
0.325986,2026-01-10
0.350052,2025-11-14
0.486809,2026-01-12
0.477876,2025-09-20
0.299919,2025-11-09
0.440461,2025-09-22
0.353032,2026-01-03
0.425079,2025-09-09
0.382048,2025-08-21
0.341582,2025-09-29
0.347064,2026-01-19
0.161637,2025-10-25
0.099742,2025-10-02
0.318915,2025-12-26
0.134437,2026-01-08
0.141228,2025-10-25
0.240556,2025-10-12
0.192515,2026-01-31
0.002522,2025-09-10
0.217827,2025-12-15
0.073329,2025-12-20
0.375885,2025-09-03
0.202864,2025-12-01
0.130346,2025-12-10
0.305399,2025-10-09
0.280978,2026-01-17
0.013362,2025-10-08
0.130314,2025-12-21
0.026251,2025-11-13
0.289553,2025-11-17
0.381367,2025-11-01
0.049338,2026-01-18
0.007729,2025-10-14
0.194391,2025-08-24
0.301672,2025-10-22
0.111219,2025-11-23
0.255984,2025-12-18
0.413812,2025-12-28
0.399645,2025-08-20
0.411739,2026-02-04
0.465579,2025-10-29
0.050599,2026-01-02
0.403241,2026-01-26
0.206776,2025-12-03
0.140447,2025-09-29
0.138021,2025-11-23
0.102674,2025-09-24
0.026652,2025-10-16
0.081356,2025-09-19
0.230221,2025-09-30
0.339481,2025-09-26
0.248476,2025-12-29
0.435089,2025-10-04
0.055350,2026-01-30
0.191586,2025-11-07
0.310114,2025-11-26
0.194853,2026-02-02
0.455960,2025-12-06
0.119331,2025-09-12
0.047114,2025-08-30
0.365134,2025-10-28
0.305065,2025-09-07
0.429680,2025-11-21
0.124573,2025-11-08
0.362655,2025-10-21
0.328097,2025-09-27
0.118591,2025-12-07
0.029938,2025-08-22
0.375659,2026-01-01
0.264673,2026-01-09
0.285092,2025-09-25
0.450406,2026-02-12
0.079091,2025-12-07
0.463897,2026-01-15
0.411814,2025-09-24
0.300909,2025-09-09
0.386696,2025-12-24
0.291939,2025-10-02
0.006871,2025-08-29
0.020703,2025-09-03
0.016119,2025-12-15
0.418975,2026-02-10
0.350295,2025-09-29
0.435014,2025-12-19
0.117918,2025-12-20
0.166126,2026-01-07
0.003205,2025-10-19
0.377650,2025-11-09
0.260253,2025-12-31
0.045828,2025-12-19
0.480450,2025-12-12
0.257922,2026-01-28
0.387659,2026-01-09
0.025311,2025-08-27
0.318774,2025-11-30
0.114829,2025-09-04
0.015153,2025-11-29
0.362900,2025-12-12
0.346875,2026-01-31
0.177464,2026-01-18
0.301426,2026-02-11
0.210365,2026-02-09
0.219485,2026-02-02
0.467446,2025-09-30
0.029835,2025-10-03
0.280020,2025-09-14
0.383074,2025-09-18
0.107763,2025-11-09
0.247736,2025-10-28
0.434383,2025-09-23
0.004493,2026-01-11
0.035157,2025-11-15
0.092462,2025-09-10
0.261313,2025-08-19
0.222793,2026-01-07
0.293809,2025-12-29
0.422209,2025-09-12
0.116306,2025-12-31
0.443577,2025-12-16
0.285176,2025-11-01
0.277487,2026-01-01
0.456017,2026-01-18
0.346309,2025-09-23
0.099256,2025-11-08
0.213655,2025-10-05
0.203189,2025-08-19
0.122014,2025-09-04
0.351563,2025-09-17
0.233755,2025-11-14
0.260597,2025-09-06
0.314944,2026-01-06
0.348739,2026-01-13
0.127861,2025-09-10
0.168026,2026-02-11
0.483497,2026-02-09
0.141349,2026-01-21
